agenda,date,draft,draft_url,meeting_record,meeting_record_url,veto_power,veto_china,veto_france,veto_russia,veto_ussr,veto_uk,veto_usa,datetime,agenda_cleaned,impacted_country
Admission of new Members Viet Nam ,15 November 1976,S/12226,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/12226,S/PV.1972,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1972(OR),United States of America,,,,,,USA,1976-11-15,Admission of new Members Viet Nam,Vietnam
Admission of new Members Angola ,23 June 1976,S/12110,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/12110,S/PV.1932,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1932(OR),United States of America,,,,,,USA,1976-06-23,Admission of new Members Angola,Angola
Admission of new Members Democratic Republic of Viet-Nam,30 September 1975,S/11833,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/11833,S/PV.1846,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1846(OR),United States of America,,,,,,USA,1975-09-30,Admission of new Members Democratic Republic of Viet-Nam,Vietnam
Admission of new Members Republic of South Viet-Nam,30 September 1975,S/11832,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/11832,S/PV.1846,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1846(OR),United States of America,,,,,,USA,1975-09-30,Admission of new Members Republic of South Viet-Nam,Vietnam
Admission of new Members Democratic Republic of Viet-Nam,11 August 1975,S/11796,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/11796,S/PV.1836,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1836(OR),United States of America,,,,,,USA,1975-08-11,Admission of new Members Democratic Republic of Viet-Nam,Vietnam
Admission of new Members Republic of South Viet-Nam,11 August 1975,S/11795,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/11795,S/PV.1836,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1836(OR),United States of America,,,,,,USA,1975-08-11,Admission of new Members Republic of South Viet-Nam,Vietnam
Admission of new Members Bangladesh,25 August 1972,S/10771,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/10771,S/PV.1660,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.1660(OR),China,China,,,,,,1972-08-25,Admission of new Members Bangladesh,Bangladesh
Applications for Membership Kuwait,30 November 1961,S/5006,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/5006,S/PV.985,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.985,Russia,,,,USSR,,,1961-11-30,Applications for Membership Kuwait,Kuwait
Applications for membership Mauritania,3 December 1960,S/4567/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/4567/Rev.1,S/PV.911,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.911,Russia,,,,USSR,,,1960-12-03,Applications for membership Mauritania,Mauritania
Admission of new Members Viet-Nam,9 December 1958,S/4130/Rev.1,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/4130/Rev.1,S/PV.843,http://www.un.org/en/ga/search/view_doc.asp?symbol=S/PV.843,Russia,,,,USSR,,,1958-12-09,Admission of new Members Viet-Nam,Vietnam
